업소명,주소,위도,경도,데이터기준일자
카카오가요방,제주특별자치도 서귀포시 명동로 27,33.24758017,126.5647037,2020-08-20
프렌즈가요방,제주특별자치도 서귀포시 명동로 27,33.24758017,126.5647037,2020-08-20
궁전,제주특별자치도 서귀포시 명동로 27,33.24758017,126.5647037,2020-08-20
히트가요방,제주특별자치도 서귀포시 명동로 28,33.24731735,126.5648338,2020-08-20
토마토가요방,제주특별자치도 서귀포시 명동로 29,33.24759542,126.5649397,2020-08-20
원미시룸,제주특별자치도 서귀포시 명동로 29,33.24759542,126.5649397,2020-08-20
여우가요방,제주특별자치도 서귀포시 명동로 29-1,33.24759614,126.5651457,2020-08-20
진선미,제주특별자치도 서귀포시 명동로 34,33.24736663,126.5655203,2020-08-20
아리수,제주특별자치도 서귀포시 명동로 38,33.2474145,126.5658033,2020-08-20
삼공사공,제주특별자치도 서귀포시 명동로 38,33.2474145,126.5658033,2020-08-20
아미비지니스룸,제주특별자치도 서귀포시 명동로 4,33.24687633,126.5624881,2020-08-20
금팡팡노래방,제주특별자치도 서귀포시 명동로 42,33.2474957,126.5663352,2020-08-20
무랑루즈,제주특별자치도 서귀포시 명동로 43,33.24773054,126.5664542,2020-08-20
불꽃가요방,제주특별자치도 서귀포시 명동로 7,33.24714403,126.5627186,2020-08-20
산호,제주특별자치도 서귀포시 부두로 55,33.24005605,126.5644449,2020-08-20
두레박 가요주점,제주특별자치도 서귀포시 서문로 11,33.25161783,126.560138,2020-08-20
벤츠에스,제주특별자치도 서귀포시 서문로 8,33.25197819,126.5600547,2020-08-20
백설공주,제주특별자치도 서귀포시 서문로 10 ,33.2518338,126.5577789,2020-08-20
발리,제주특별자치도 서귀포시 서문로41번길 21-1,33.24945037,126.5601532,2020-08-20
라라,제주특별자치도 서귀포시 서문로41번길 21-1,33.24945037,126.5601532,2020-08-20
마시고돈내고나가삼,제주특별자치도 서귀포시 서문로41번길 23,33.24945823,126.5603377,2020-08-20
도전천곡 노래주점,제주특별자치도 서귀포시 성산읍 고성동서로 67,33.45077789,126.9142695,2020-08-20
동남씽씽,제주특별자치도 서귀포시 성산읍 고성오조로 77,33.45044262,126.9144635,2020-08-20
성산황진이가요주점,제주특별자치도 서귀포시 성산읍 고성오조로 77,33.45044262,126.9144635,2020-08-20
상상플러스,제주특별자치도 서귀포시 성산읍 고성오조로 79,33.45077437,126.9144029,2020-08-20
술이야노래야,제주특별자치도 서귀포시 성산읍 고성오조로 79,33.45077437,126.9144029,2020-08-20
노래창고,제주특별자치도 서귀포시 성산읍 고성오조로 83,33.45100871,126.9142822,2020-08-20
나이스팡,제주특별자치도 서귀포시 성산읍 고성오조로 87-3,33.45124292,126.9139765,2020-08-20
축제,제주특별자치도 서귀포시 성산읍 동류암로 30,33.44931198,126.9170846,2020-08-20
라이언,제주특별자치도 서귀포시 성산읍 동류암로 32,33.44919285,126.916904,2020-08-20
유림,제주특별자치도 서귀포시 성산읍 동류암로 38,33.44905538,126.9162803,2020-08-20
수궁,제주특별자치도 서귀포시 성산읍 동류암로 40-1,33.44896862,126.9159793,2020-08-20
스카이노래주점,제주특별자치도 서귀포시 성산읍 동류암로36번길 6,33.44945957,126.91668,2020-08-20
준고래고래,제주특별자치도 서귀포시 성산읍 동류암로39번길 13,33.44788637,126.9155114,2020-08-20
준뉴월드,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-1,33.44801633,126.9156919,2020-08-20
노다지,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,33.44810653,126.9157564,2020-08-20
신나는가요방,제주특별자치도 서귀포시 성산읍 일출로 12,33.44720735,126.9140493,2020-08-20
질러노래타운,제주특별자치도 서귀포시 성산읍 일출로 293,33.46352464,126.934631,2020-08-20
대부,제주특별자치도 서귀포시 성산읍 한도로 244,33.46615315,126.9335404,2020-08-20
